X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39
77,85,81,90,61,94,0,0,4,81,70,79,75,19,0,72,0,72,30,0,4,0,70,0,79,79,72,82,81,79,0,57,0,83,86,72,82,0,70
84,102,91,92,86,78,0,0,0,82,72,68,78,5,0,0,0,68,50,0,0,0,75,0,82,74,75,69,76,74,0,67,0,89,75,82,74,0,98
83,88,93,98,78,55,0,0,0,53,65,79,74,1,0,0,0,84,73,0,0,0,11,0,86,70,74,81,65,91,0,66,0,80,80,80,78,0,92
88,100,77,96,83,67,0,0,0,0,57,75,67,1,0,0,0,78,65,0,0,0,1,0,77,78,76,81,80,72,0,19,0,71,72,64,66,0,69
73,91,92,85,77,92,0,0,0,2,71,77,58,0,0,0,0,76,65,0,23,0,0,0,79,65,77,85,89,76,0,0,0,73,78,74,82,1,77
0,89,89,78,84,70,0,0,0,0,61,79,75,0,0,0,0,73,40,0,56,0,0,0,72,74,83,82,25,87,62,0,0,73,75,79,71,7,83
0,91,90,65,86,78,0,0,0,0,72,48,81,0,0,0,0,77,74,0,43,0,0,0,75,76,64,79,1,75,74,0,0,80,75,73,76,0,73
0,98,86,88,81,84,0,0,0,0,62,69,82,0,23,0,0,68,69,0,61,0,0,0,63,62,80,79,0,21,86,0,0,82,61,87,75,0,78
0,18,89,85,89,9,0,0,4,0,74,73,31,2,79,0,0,54,56,0,72,0,0,0,72,83,75,76,0,86,83,0,0,78,63,39,69,1,65
0,91,93,99,91,0,0,0,0,15,72,53,0,17,78,5,0,0,69,0,85,0,0,0,76,79,77,79,0,78,78,0,0,82,76,52,28,0,79
0,84,25,15,90,0,0,0,0,8,64,77,0,0,72,60,0,0,68,0,71,0,0,0,67,23,73,85,77,66,73,0,0,73,80,60,6,0,78
0,80,89,0,87,0,0,0,42,15,74,80,0,6,76,70,0,0,76,0,59,0,0,0,70,0,73,65,71,81,86,0,0,76,42,80,29,0,86
0,74,97,0,90,5,0,0,71,0,65,77,0,0,80,86,0,0,61,0,85,0,0,0,134,0,79,76,67,79,82,0,0,79,61,69,6,53,76
0,100,83,0,91,3,0,0,70,0,74,77,0,0,80,59,0,0,77,0,67,0,0,0,69,0,57,69,76,58,76,0,0,86,45,85,0,87,86
0,81,92,0,92,1,0,1,75,0,4,59,0,0,75,48,0,58,52,0,60,0,0,0,57,58,68,42,72,71,70,0,0,64,43,64,6,85,90
0,79,11,9,86,0,0,0,75,0,1,68,0,0,81,83,0,77,72,0,59,0,0,0,67,79,77,81,76,70,67,0,0,80,0,18,6,78,19
0,100,3,92,0,0,0,16,87,0,0,73,0,0,69,87,0,83,71,0,74,0,0,0,66,60,65,67,39,73,84,0,0,3,0,0,0,90,0
4,97,1,102,0,0,0,29,81,0,11,67,0,0,76,79,0,72,63,0,56,0,0,2,77,85,0,78,0,86,79,0,27,50,0,0,0,75,0
5,92,0,92,0,0,0,6,78,3,0,40,63,0,60,73,0,80,0,0,71,0,2,2,4,76,0,52,46,61,75,0,4,82,0,46,0,71,0
11,98,1,98,0,0,0,1,69,66,0,0,84,17,77,77,0,85,15,0,57,0,77,26,20,82,0,80,79,62,73,0,0,59,0,75,1,74,0
2,93,0,100,0,0,0,0,66,80,0,0,80,82,83,82,0,7,1,0,81,0,86,24,3,71,0,53,57,54,77,1,0,48,0,77,19,87,0
4,44,0,94,1,0,0,0,82,72,0,0,76,75,43,71,0,24,1,0,57,0,71,62,1,88,0,62,76,69,80,2,0,77,0,89,28,81,0
6,0,0,90,1,12,0,0,88,74,0,0,82,61,63,75,0,76,2,0,80,0,80,64,0,83,0,24,75,74,77,0,0,76,0,46,77,80,2
0,1,0,102,2,0,0,0,74,70,0,0,81,71,76,75,0,88,2,0,77,0,89,84,0,80,3,0,75,77,37,5,0,74,0,49,78,18,0
0,0,0,61,1,0,0,68,80,75,0,20,74,80,77,75,0,78,0,0,61,0,68,80,0,70,11,0,72,82,80,4,0,59,0,80,59,68,0
0,1,1,100,9,0,0,89,85,69,0,77,79,84,77,68,0,78,0,0,88,0,72,68,0,71,2,0,40,76,88,3,0,84,29,85,42,78,0
0,0,1,86,0,0,0,85,61,57,0,83,74,78,76,0,0,87,0,0,64,0,55,72,0,59,11,0,0,81,68,2,77,84,53,85,71,79,0
0,6,11,104,22,0,0,98,77,76,0,81,69,75,69,0,0,24,0,0,54,0,86,75,0,77,1,0,21,56,80,0,80,70,66,74,89,84,0
0,0,0,90,72,0,0,85,78,63,0,82,74,76,69,0,0,69,0,0,24,0,83,74,0,71,0,0,78,79,62,0,83,17,77,87,85,63,11
0,0,0,100,89,0,0,98,73,67,0,69,78,88,0,0,0,74,0,0,0,0,83,78,0,72,41,0,72,27,82,0,73,0,69,90,77,84,0
0,0,0,81,95,0,0,90,56,71,1,50,60,82,0,0,0,71,0,29,0,0,77,78,0,58,70,0,79,63,74,0,69,2,0,59,88,76,1
0,0,0,85,80,0,0,99,0,73,5,70,75,37,0,0,0,88,0,0,0,0,76,66,0,76,77,0,67,76,51,0,80,0,0,80,69,74,0
0,1,0,92,92,0,0,80,0,75,24,72,71,2,0,0,0,82,0,0,0,0,66,72,0,76,66,0,70,84,84,0,80,0,0,84,70,82,0
0,2,0,89,87,0,0,81,0,55,56,73,68,11,0,0,0,79,0,0,0,0,86,76,1,74,66,0,67,93,77,1,75,0,0,84,86,71,0
